d_year,eco_pop,eco_emp,eco_hhs
2010,3690.942,1753.633,1454.695
2015,3898.72,1971.433,1533.026
2016,3985.04,2039.5,1561.846
2017,4066.8,2082.058,1587.176
2018,4122.419,2126.785,1612.724
2019,4180.28,2155.919,1634.325
2020,4240.91,2182.432,1657.501
2021,4300.285,2217.681,1681.395
2022,4357.228,2248.017,1704.808
2023,4416.836,2273.563,1729.627
2024,4477.439,2303.879,1754.961
2025,4536.475,2333.47,1779.794
2026,4595.981,2360.237,1805.152
2027,4655.103,2391.465,1831.183
2028,4710.639,2424.425,1857.203
2029,4766.561,2455.145,1884.312
2030,4823.243,2488.556,1912.425
2031,4876.182,2523.686,1939.143
2032,4924.105,2553.79,1963.543
2033,4974.711,2584.263,1988.889
2034,5026.349,2616.901,2014.507
2035,5080.466,2650.453,2041.244
2036,5135.689,2685.646,2068.759
2037,5190.095,2723.512,2096.655
2038,5238.443,2762.314,2122.802
2039,5283.709,2796.063,2148.046
2040,5328.033,2828.304,2172.765
2041,5374.982,2859.941,2198.118
2042,5424.064,2893.188,2224.035
2043,5474.229,2928.359,2250.247
2044,5525.074,2964.278,2276.537
2045,5577.099,3000.631,2303.103
2046,5627.506,3035.595,2328.433
2047,5677.5,3069.396,2352.866
2048,5726.303,3102.187,2376.061
2049,5774.225,3133.487,2398.044
2050,5823.165,3164.442,2419.949
